Training Set,Test Set,Model,Loop Size,accuracy_mean,accuracy_std,AUC_mean,AUC_std,F-measure_mean,F-measure_std,MCC_mean,MCC_std
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
camel-1.6,ivy-2.0,LR,1,0.605,0,0.657,0,0.294,0,0.201,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
ivy-2.0,poi-3.0,LR,1,0.523,0,0.526,0,0.581,0,0.049,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
log4j-1.2,xalan-2.7,LR,1,0.598,0,0.3,0,0.749,0,-0.027,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
synapse-1.2,forrest-0.8,LR,1,0.562,0,0.533,0,0.125,0,0.033,0
velocity-1.6.1,ivy-2.0,LR,1,0.571,0,0.66,0,0.291,0,0.203,0
